Ingredient ID,Ingredient,measurement,package size,price,double_observation,responsible,,,Conversion Table,,
InID278,sweet vermouth,ml,750,14.99,,Felix,,,,,
InID279,tabasco sauce,ml,60,2.79,,Felix,,,,,
InID280,tea,pieces,20,1.99,,Felix,,,,,
InID281,tennessee whiskey,ml,1000,18.99,,Felix,,,,,
InID282,tequila,ml,700,13.99,,Felix,,,,,
InID283,tia maria,ml,700,17.99,,Felix,,,,,
InID284,tomato juice,ml,1000,0.99,,Felix,,,,,
InID285,tonic water,ml,1000,1.49,,Felix,,,,,
InID286,triple sec,ml,700,22.49,,Felix,,,,,
InID287,tropicana,ml,1000,1.79,fruit juice,Felix,,,,,
InID288,vanilla,ml,35,3.39,vanilla extract,Felix,,,,,
InID289,vanilla extract,ml,35,3.39,,Felix,,,,,
InID290,vanilla ice-cream,ml,1000,3.49,,Felix,,,,,
InID291,vanilla vodka,ml,700,18.99,,Felix,,,,,
InID292,vermouth,ml,750,6.99,dry vermouth,Felix,,,,,
InID293,vodka,ml,700,9.99,,Felix,,,,,
InID294,water,ml,1000,0.33,,Felix,,,,,
InID295,whipped cream,ml,250,1.39,cream,Felix,,,,,
InID296,whipping cream,ml,250,1.39,cream,Felix,,,,,
InID297,whiskey,ml,1000,18.99,whisky,Felix,,,,,
InID298,whisky,ml,1000,18.99,,Felix,,,,,
InID299,white creme de menthe,ml,700,16.77,,Felix,,,,,
InID300,white rum,ml,1000,19.99,,Felix,,,,,
InID301,wild turkey,ml,700,21.99,,Felix,,,,,
InID302,white wine,ml,1000,3.79,,Felix,,,,,
InID303,worcestershire sauce,ml,150,2.49,,Felix,,,,,
InID304,wormwood,ml,120,26.27,,Felix,,,,,
InID305,yellow chartreuse,ml,700,36.72,,Felix,,,,,
InID306,yoghurt,g,500,1.19,,Felix,,,,,
InID307,yukon jack,ml,1000,42.9,,Felix,,,,,
InID308,zima,ml,355,0.8,,Felix,,,,,
